fastq	Accession
REP2_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052776
REP2_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052775
REP2_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052774
REP2_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052773
REP2_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052772
REP2_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052771
REP2_OrthoTS2cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052770
REP2_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052767
REP2_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052766
REP2_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052765
REP2_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052764
REP2_OrthoTS2cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052763
REP2_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052762
REP2_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052761
REP2_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052760
REP2_OrthoTS2cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052759
