feature,cor,p_value,q_value,rank,clone,dist_cor,feature_type
Enpp1,0.013576603687742432,0.24239464038225947,0.618972028118984,103.0,M1-T2,-0.02626981206030822,expression
Eomes,0.02377099510277065,0.04065691272096468,0.16149829219716524,118.0,M1-T2,-0.03544263541522432,expression
Fasl,0.00608996505733083,0.6000274004056417,0.8132784915216508,77.0,M1-T2,-0.03753717687373192,expression
Fcer1a,-0.005117796271707484,0.6594636741922901,0.8272018281966842,43.0,M1-T2,-0.014110559425480864,expression
Fcer2a,0.003422543192173532,0.7682325395998618,0.8939943412060986,70.0,M1-T2,-0.06656819503577528,expression
Fcmr,-0.0016517766989301904,0.8869055611695047,0.944375148711712,51.0,M1-T2,-0.045345431845909376,expression
Fermt1,0.04998464264121322,1.6589256662921456e-05,0.00015809378198179314,132.0,M1-T2,-0.022392632409119442,expression
Fgfbp1,-0.004670940236771136,0.6875530210567821,0.8272018281966842,47.0,M1-T2,0.03439019088853277,expression
Flt3,-0.018092413316308967,0.11925345558705355,0.37896098108774795,12.0,M1-T2,-0.09358141444561016,expression
Foxp3,0.006666763759438101,0.5659502302120816,0.8012958704982938,79.0,M1-T2,-0.041872731211025825,expression
Fscn1,0.06571883709687215,1.473449741450782e-08,1.9154846638860163e-07,136.0,M1-T2,0.04767603439997197,expression
Ftcd,0.011118949751851005,0.33837049841882705,0.7012605981723518,96.0,M1-T2,-0.000508772457039793,expression
Fxyd3,-0.027404665169796952,0.018273406383230974,0.09010679699317342,10.0,M1-T2,0.03559418343775111,expression
Fzd2,-0.006257713718124471,0.5900214373242565,0.8132784915216508,37.0,M1-T2,0.051363983424569444,expression
Galnt18,0.03391148361103179,0.0034927304546932595,0.019978418200845446,127.0,M1-T2,-0.14476421271741147,expression
Gata2,0.03455582402751104,0.0029184119026245967,0.018969677367059876,128.0,M1-T2,-0.10465489172305248,expression
Gjb1,-0.00971390268813201,0.4029281620201758,0.7202340896110642,28.0,M1-T2,-0.046092228567633294,expression
Gpihbp1,0.00955749037531861,0.410545065225394,0.7247894361386585,91.0,M1-T2,-0.04805723303076091,expression
Gpr39,0.026332886547061223,0.023347553840759497,0.10770000642672929,123.0,M1-T2,0.012022949419606454,expression
Grm6,0.0031575092264861434,0.7857238709387507,0.9061170447116239,68.0,M1-T2,-0.002619355591386419,expression
Gzma,0.024771462694692638,0.03290898200957666,0.13445669792484177,119.0,M1-T2,-0.007058818442725845,expression
Gzmb,-0.010284815424592164,0.3758528690905439,0.709102012100351,26.0,M1-T2,0.009652086581875507,expression
Havcr2,0.012099200049544526,0.29750458533583796,0.6453703937682939,99.0,M1-T2,-0.09468419372637896,expression
Hoxa10,0.001788037495101204,0.8776466659211168,0.944375148711712,63.0,M1-T2,0.13208164305130607,expression
Hpd,0.02075986618929961,0.07383215820362114,0.27784206902941644,116.0,M1-T2,0.0010767562760827416,expression
Htr1b,-0.000898171245957629,0.9383577860864425,0.9600946608049638,54.0,M1-T2,-0.002837033368248297,expression
Ibsp,-0.005732627461398571,0.6215936917026426,0.8132784915216508,42.0,M1-T2,-0.02227444607756881,expression
Ifng,0.007884306838638383,0.4972248947509085,0.7559153575512526,84.0,M1-T2,-0.019009947679889925,expression
Ighd,0.012298267703005515,0.28962637517682693,0.6453703937682939,100.0,M1-T2,-0.06464617830884326,expression
Inava,0.0026341650118564923,0.8205742578606536,0.9239536919218383,66.0,M1-T2,0.0764175024221261,expression
Itgax,0.025633716353834428,0.027281321036812797,0.11821905782618877,121.0,M1-T2,-0.08314336892998815,expression
Itk,-0.010872033123141542,0.34920727463402723,0.7016189244199696,22.0,M1-T2,-0.06966023769824221,expression
Klhl14,-0.010718719556286012,0.35604560542442576,0.7016189244199696,24.0,M1-T2,-0.012288202398193004,expression
Klrb1c,-0.010753496719124265,0.354487064395347,0.7016189244199696,23.0,M1-T2,-0.01452028830095186,expression
Klrk1,0.01154309179829758,0.32026534458222694,0.6806542708850789,98.0,M1-T2,-0.06967591245791113,expression
Krt79,0.004854256418055546,0.6759748164349384,0.8272018281966842,74.0,M1-T2,-0.013334411353881073,expression
Ldb2,-0.00576746788279088,0.6194762118733994,0.8132784915216508,40.0,M1-T2,-0.1154640345382404,expression
Mat1a,0.02656075517361607,0.02217661223633201,0.10570851832651593,124.0,M1-T2,-0.051607260243520275,expression
Mmp12,-0.01393260141519826,0.23026416000379446,0.6062638877316965,14.0,M1-T2,0.0254575797669779,expression
Mrc1,5.0585303890473676e-05,0.9965248408506383,0.9965248408506383,57.0,M1-T2,-0.05035469432425012,expression
Ms4a1,-0.00087488594696398,0.9399528147740904,0.9600946608049638,55.0,M1-T2,-0.05091990865471749,expression
Ms4a2,-0.012963515799154163,0.26432479074098775,0.6394333841541311,18.0,M1-T2,-0.021459958317404822,expression
Ms4a4b,0.008329378220374894,0.47325937812230545,0.7436933084779086,86.0,M1-T2,-0.0449506148926129,expression
Ms4a7,0.008550843143383433,0.46157524993904053,0.7428738627413671,88.0,M1-T2,-0.03555908986355605,expression
Ncr1,0.007451666849869389,0.5211264562085153,0.762773862695439,82.0,M1-T2,-0.013757530158165639,expression
Nes,0.08039986987552641,4.097104802728255e-12,7.323574834876756e-11,138.0,M1-T2,0.022486510699374396,expression
Pacsin1,-0.005006435283078654,0.6664209555269505,0.8272018281966842,45.0,M1-T2,-0.07680946182597526,expression
Pax5,-0.01994474012655291,0.08589761548814726,0.29959412231231847,11.0,M1-T2,-0.05895027240861221,expression
Plcb1,-0.007948968598770229,0.49370342776907705,0.7559153575512526,34.0,M1-T2,-0.11877748449823908,expression
Pld4,-0.013333992401582152,0.25091480267356825,0.6294880137249168,16.0,M1-T2,-0.14820438521382934,expression
Pou2af1,0.010671490111419706,0.3581691012773272,0.7016189244199696,95.0,M1-T2,-0.08431770691076836,expression
Prdm1,0.010263020497942841,0.37686540503235433,0.709102012100351,94.0,M1-T2,-0.0157706503042399,expression
Prex2,0.025178018210615,0.030142448820497273,0.12677559356856205,120.0,M1-T2,-0.09034691983795487,expression
Prss34,0.020226786163061942,0.08155420830646452,0.2915562946956107,114.0,M1-T2,-0.0233753466133884,expression
Ptprb,0.0016503804936291964,0.887000515199696,0.944375148711712,61.0,M1-T2,-0.1119159721474002,expression
Ptpro,0.007148003565769419,0.5382489922122308,0.7774707665287778,80.0,M1-T2,-0.027794090521947916,expression
