generations,edit_rate,iteration,site_edit_frac
36,0.019,2,0.5
37,0.019,2,0.5
38,0.019,2,0.5
39,0.018000000000000002,2,0.5
40,0.018000000000000002,2,0.5
41,0.018000000000000002,2,0.5
42,0.017,2,0.5
43,0.017,2,0.5
44,0.016,2,0.5
45,0.016,2,0.5
46,0.016,2,0.5
47,0.015,2,0.5
48,0.015,2,0.5
49,0.014,2,0.5
50,0.014,2,0.5
51,0.014,2,0.5
52,0.014,2,0.5
53,0.013000000000000001,2,0.5
54,0.013000000000000001,2,0.5
55,0.013000000000000001,2,0.5
56,0.013000000000000001,2,0.5
57,0.013000000000000001,2,0.5
58,0.012,2,0.5
59,0.012,2,0.5
60,0.012,2,0.5
61,0.012,2,0.5
62,0.012,2,0.5
63,0.011,2,0.5
64,0.011,2,0.5
65,0.011,2,0.5
66,0.011,2,0.5
67,0.011,2,0.5
68,0.011,2,0.5
69,0.011,2,0.5
70,0.01,2,0.5
71,0.01,2,0.5
72,0.01,2,0.5
73,0.01,2,0.5
74,0.01,2,0.5
75,0.01,2,0.5
76,0.01,2,0.5
77,0.01,2,0.5
78,0.009000000000000001,2,0.5
79,0.009000000000000001,2,0.5
80,0.009000000000000001,2,0.5
81,0.009000000000000001,2,0.5
82,0.008,2,0.5
83,0.008,2,0.5
84,0.008,2,0.5
85,0.008,2,0.5
86,0.008,2,0.5
87,0.008,2,0.5
88,0.008,2,0.5
89,0.008,2,0.5
90,0.008,2,0.5
91,0.008,2,0.5
92,0.008,2,0.5
93,0.007,2,0.5
94,0.007,2,0.5
95,0.007,2,0.5
96,0.007,2,0.5
97,0.007,2,0.5
98,0.007,2,0.5
99,0.007,2,0.5
100,0.007,2,0.5
3,0.271,2,0.6
4,0.209,2,0.6
5,0.164,2,0.6
6,0.138,2,0.6
7,0.122,2,0.6
8,0.112,2,0.6
9,0.098,2,0.6
10,0.089,2,0.6
11,0.073,2,0.6
12,0.074,2,0.6
